timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1754149004914,720,Petición 1,401,Unauthorized,Thread Group 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[401]]]

****** comparison: [[[200]]]

/",775,237,15,15,https://fakestoreapi.com/auth/login,720,0,173
1754149004956,684,Petición 2,200,OK,Thread Group 1-2,text,true,,888,237,15,15,https://fakestoreapi.com/auth/login,684,0,142
1754149005009,728,Petición 3,200,OK,Thread Group 1-3,text,true,,900,243,17,17,https://fakestoreapi.com/auth/login,728,0,145
1754149005062,700,Petición 4,200,OK,Thread Group 1-4,text,true,,889,237,18,18,https://fakestoreapi.com/auth/login,700,0,151
1754149005105,710,Petición 5,200,OK,Thread Group 1-5,text,true,,893,238,19,19,https://fakestoreapi.com/auth/login,710,0,145
1754149005354,465,Petición 10,200,OK,Thread Group 1-10,text,true,,891,237,19,19,https://fakestoreapi.com/auth/login,464,0,171
1754149005155,706,Petición 6,200,OK,Thread Group 1-6,text,true,,889,239,20,20,https://fakestoreapi.com/auth/login,706,0,147
1754149005208,721,Petición 7,401,Unauthorized,Thread Group 1-7,text,false,"Test failed: code expected to equal /

****** received  : [[[401]]]

****** comparison: [[[200]]]

/",780,237,21,21,https://fakestoreapi.com/auth/login,721,0,172
1754149005254,688,Petición 8,200,OK,Thread Group 1-8,text,true,,886,237,21,21,https://fakestoreapi.com/auth/login,688,0,138
1754149005667,291,Petición 16,200,OK,Thread Group 1-1,text,true,,893,237,22,22,https://fakestoreapi.com/auth/login,291,0,0
1754149005706,289,Petición 17,200,OK,Thread Group 1-2,text,true,,893,238,22,22,https://fakestoreapi.com/auth/login,289,0,0
1754149005306,731,Petición 9,200,OK,Thread Group 1-9,text,true,,894,243,23,23,https://fakestoreapi.com/auth/login,731,0,155
1754149005405,709,Petición 11,200,OK,Thread Group 1-11,text,true,,891,238,25,25,https://fakestoreapi.com/auth/login,709,0,141
1754149005458,685,Petición 12,200,OK,Thread Group 1-12,text,true,,891,239,25,25,https://fakestoreapi.com/auth/login,685,0,140
1754149005705,438,Petición 19,401,Unauthorized,Thread Group 1-17,text,false,"Test failed: code expected to equal /

****** received  : [[[401]]]

****** comparison: [[[200]]]

/",774,237,25,25,https://fakestoreapi.com/auth/login,438,0,144
1754149005859,301,Petición 20,200,OK,Thread Group 1-3,text,true,,886,237,26,26,https://fakestoreapi.com/auth/login,301,0,0
1754149005756,441,Petición 21,200,OK,Thread Group 1-18,text,true,,890,243,26,26,https://fakestoreapi.com/auth/login,441,0,147
1754149005506,717,Petición 13,401,Unauthorized,Thread Group 1-13,text,false,"Test failed: code expected to equal /

****** received  : [[[401]]]

****** comparison: [[[200]]]

/",780,237,27,27,https://fakestoreapi.com/auth/login,717,0,142
1754149005964,288,Petición 22,200,OK,Thread Group 1-4,text,true,,887,237,27,27,https://fakestoreapi.com/auth/login,288,0,0
